----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
         Dropout-135           [-1, 16, 49, 49]               0
          Linear-136              [-1, 49, 512]         262,656
         Dropout-137              [-1, 49, 512]               0
 WindowAttention-138              [-1, 49, 512]               0
        DropPath-139          [-1, 14, 14, 512]               0
       LayerNorm-140             [-1, 196, 512]           1,024
          Linear-141            [-1, 196, 2048]       1,050,624
            GELU-142            [-1, 196, 2048]               0
         Dropout-143            [-1, 196, 2048]               0
          Linear-144             [-1, 196, 512]       1,049,088
         Dropout-145             [-1, 196, 512]               0
             Mlp-146             [-1, 196, 512]               0
        DropPath-147             [-1, 196, 512]               0
SwinTransformerBlock-148          [-1, 14, 14, 512]               0
       LayerNorm-149          [-1, 14, 14, 512]           1,024
          Linear-150             [-1, 49, 1536]         787,968
         Softmax-151           [-1, 16, 49, 49]               0
         Dropout-152           [-1, 16, 49, 49]               0
          Linear-153              [-1, 49, 512]         262,656
         Dropout-154              [-1, 49, 512]               0
 WindowAttention-155              [-1, 49, 512]               0
        DropPath-156          [-1, 14, 14, 512]               0
       LayerNorm-157             [-1, 196, 512]           1,024
          Linear-158            [-1, 196, 2048]       1,050,624
            GELU-159            [-1, 196, 2048]               0
         Dropout-160            [-1, 196, 2048]               0
          Linear-161             [-1, 196, 512]       1,049,088
         Dropout-162             [-1, 196, 512]               0
             Mlp-163             [-1, 196, 512]               0
        DropPath-164             [-1, 196, 512]               0
SwinTransformerBlock-165          [-1, 14, 14, 512]               0
       LayerNorm-166          [-1, 14, 14, 512]           1,024
          Linear-167             [-1, 49, 1536]         787,968
         Softmax-168           [-1, 16, 49, 49]               0
         Dropout-169           [-1, 16, 49, 49]               0
          Linear-170              [-1, 49, 512]         262,656
         Dropout-171              [-1, 49, 512]               0
 WindowAttention-172              [-1, 49, 512]               0
        DropPath-173          [-1, 14, 14, 512]               0
       LayerNorm-174             [-1, 196, 512]           1,024
          Linear-175            [-1, 196, 2048]       1,050,624
            GELU-176            [-1, 196, 2048]               0
         Dropout-177            [-1, 196, 2048]               0
          Linear-178             [-1, 196, 512]       1,049,088
         Dropout-179             [-1, 196, 512]               0
             Mlp-180             [-1, 196, 512]               0
        DropPath-181             [-1, 196, 512]               0
SwinTransformerBlock-182          [-1, 14, 14, 512]               0
       LayerNorm-183          [-1, 14, 14, 512]           1,024
          Linear-184             [-1, 49, 1536]         787,968
         Softmax-185           [-1, 16, 49, 49]               0
         Dropout-186           [-1, 16, 49, 49]               0
          Linear-187              [-1, 49, 512]         262,656
         Dropout-188              [-1, 49, 512]               0
 WindowAttention-189              [-1, 49, 512]               0
        DropPath-190          [-1, 14, 14, 512]               0
       LayerNorm-191             [-1, 196, 512]           1,024
          Linear-192            [-1, 196, 2048]       1,050,624
            GELU-193            [-1, 196, 2048]               0
         Dropout-194            [-1, 196, 2048]               0
