Loading config configs/COCO-Detection/../Base-RetinaNet.yaml with yaml.unsafe_load. Your machine may be at risk if the file contains malicious content.
[08/25 17:02:20 detectron2]: Parameter Count:
| name                                      | #elements or shape    |
|      backbone.bottom_up.res4.10.conv3     |      0.3M             |
|     backbone.bottom_up.res4.11            |     1.1M              |
|      backbone.bottom_up.res4.11.conv1     |      0.3M             |
|      backbone.bottom_up.res4.11.conv2     |      0.6M             |
|      backbone.bottom_up.res4.11.conv3     |      0.3M             |
|     backbone.bottom_up.res4.12            |     1.1M              |
|      backbone.bottom_up.res4.12.conv1     |      0.3M             |
|      backbone.bottom_up.res4.12.conv2     |      0.6M             |
|      backbone.bottom_up.res4.12.conv3     |      0.3M             |
|     backbone.bottom_up.res4.13            |     1.1M              |
|      backbone.bottom_up.res4.13.conv1     |      0.3M             |
|      backbone.bottom_up.res4.13.conv2     |      0.6M             |
|      backbone.bottom_up.res4.13.conv3     |      0.3M             |
|     backbone.bottom_up.res4.14            |     1.1M              |
|      backbone.bottom_up.res4.14.conv1     |      0.3M             |
|      backbone.bottom_up.res4.14.conv2     |      0.6M             |
|      backbone.bottom_up.res4.14.conv3     |      0.3M             |
|     backbone.bottom_up.res4.15            |     1.1M              |
|      backbone.bottom_up.res4.15.conv1     |      0.3M             |
|      backbone.bottom_up.res4.15.conv2     |      0.6M             |
|      backbone.bottom_up.res4.15.conv3     |      0.3M             |
|     backbone.bottom_up.res4.16            |     1.1M              |
|      backbone.bottom_up.res4.16.conv1     |      0.3M             |
|      backbone.bottom_up.res4.16.conv2     |      0.6M             |
|      backbone.bottom_up.res4.16.conv3     |      0.3M             |
|     backbone.bottom_up.res4.17            |     1.1M              |
|      backbone.bottom_up.res4.17.conv1     |      0.3M             |
|      backbone.bottom_up.res4.17.conv2     |      0.6M             |
|      backbone.bottom_up.res4.17.conv3     |      0.3M             |
|     backbone.bottom_up.res4.18            |     1.1M              |
|      backbone.bottom_up.res4.18.conv1     |      0.3M             |
|      backbone.bottom_up.res4.18.conv2     |      0.6M             |
|      backbone.bottom_up.res4.18.conv3     |      0.3M             |
|     backbone.bottom_up.res4.19            |     1.1M              |
|      backbone.bottom_up.res4.19.conv1     |      0.3M             |
|      backbone.bottom_up.res4.19.conv2     |      0.6M             |
|      backbone.bottom_up.res4.19.conv3     |      0.3M             |
|     backbone.bottom_up.res4.20            |     1.1M              |
|      backbone.bottom_up.res4.20.conv1     |      0.3M             |
|      backbone.bottom_up.res4.20.conv2     |      0.6M             |
|      backbone.bottom_up.res4.20.conv3     |      0.3M             |
|     backbone.bottom_up.res4.21            |     1.1M              |
|      backbone.bottom_up.res4.21.conv1     |      0.3M             |
|      backbone.bottom_up.res4.21.conv2     |      0.6M             |
|      backbone.bottom_up.res4.21.conv3     |      0.3M             |
|     backbone.bottom_up.res4.22            |     1.1M              |
|      backbone.bottom_up.res4.22.conv1     |      0.3M             |
|      backbone.bottom_up.res4.22.conv2     |      0.6M             |
|      backbone.bottom_up.res4.22.conv3     |      0.3M             |
|    backbone.bottom_up.res5                |    14.9M              |
|     backbone.bottom_up.res5.0             |     6.0M              |
|      backbone.bottom_up.res5.0.shortcut   |      2.1M             |
|      backbone.bottom_up.res5.0.conv1      |      0.5M             |
|      backbone.bottom_up.res5.0.conv2      |      2.4M             |
|      backbone.bottom_up.res5.0.conv3      |      1.0M             |
|     backbone.bottom_up.res5.1             |     4.5M              |
|      backbone.bottom_up.res5.1.conv1      |      1.0M             |
|      backbone.bottom_up.res5.1.conv2      |      2.4M             |
|      backbone.bottom_up.res5.1.conv3      |      1.0M             |
|     backbone.bottom_up.res5.2             |     4.5M              |
|      backbone.bottom_up.res5.2.conv1      |      1.0M             |
|      backbone.bottom_up.res5.2.conv2      |      2.4M             |
|      backbone.bottom_up.res5.2.conv3      |      1.0M             |
|  head                                     |  6.5M                 |
|   head.cls_subnet                         |   2.4M                |
|    head.cls_subnet.0                      |    0.6M               |
|     head.cls_subnet.0.weight              |     (256, 256, 3, 3)  |
|     head.cls_subnet.0.bias                |     (256,)            |
|    head.cls_subnet.2                      |    0.6M               |
