[08/29 11:05:35 detectron2]: Parameter Count:
| name                                                     | #elements or shape      |
|      backbone.res5.0.conv3.weight                        |      (2048, 512, 1, 1)  |
|    backbone.res5.1                                       |    4.5M                 |
|     backbone.res5.1.conv1                                |     1.0M                |
|      backbone.res5.1.conv1.weight                        |      (512, 2048, 1, 1)  |
|     backbone.res5.1.conv2                                |     2.4M                |
|      backbone.res5.1.conv2.weight                        |      (512, 512, 3, 3)   |
|     backbone.res5.1.conv3                                |     1.0M                |
|      backbone.res5.1.conv3.weight                        |      (2048, 512, 1, 1)  |
|    backbone.res5.2                                       |    4.5M                 |
|     backbone.res5.2.conv1                                |     1.0M                |
|      backbone.res5.2.conv1.weight                        |      (512, 2048, 1, 1)  |
|     backbone.res5.2.conv2                                |     2.4M                |
|      backbone.res5.2.conv2.weight                        |      (512, 512, 3, 3)   |
|     backbone.res5.2.conv3                                |     1.0M                |
|      backbone.res5.2.conv3.weight                        |      (2048, 512, 1, 1)  |
|  proposal_generator                                      |  37.9M                  |
|   proposal_generator.rpn_head                            |   37.9M                 |
|    proposal_generator.rpn_head.conv                      |    37.8M                |
|     proposal_generator.rpn_head.conv.weight              |     (2048, 2048, 3, 3)  |
|     proposal_generator.rpn_head.conv.bias                |     (2048,)             |
|    proposal_generator.rpn_head.objectness_logits         |    30.7K                |
|     proposal_generator.rpn_head.objectness_logits.weight |     (15, 2048, 1, 1)    |
|     proposal_generator.rpn_head.objectness_logits.bias   |     (15,)               |
|    proposal_generator.rpn_head.anchor_deltas             |    0.1M                 |
|     proposal_generator.rpn_head.anchor_deltas.weight     |     (60, 2048, 1, 1)    |
|     proposal_generator.rpn_head.anchor_deltas.bias       |     (60,)               |
|  roi_heads                                               |  0.1G                   |
|   roi_heads.box_head                                     |   0.1G                  |
|    roi_heads.box_head.fc1                                |    0.1G                 |
|     roi_heads.box_head.fc1.weight                        |     (1024, 100352)      |
|     roi_heads.box_head.fc1.bias                          |     (1024,)             |
|    roi_heads.box_head.fc2                                |    1.0M                 |
|     roi_heads.box_head.fc2.weight                        |     (1024, 1024)        |
|     roi_heads.box_head.fc2.bias                          |     (1024,)             |
|   roi_heads.box_predictor                                |   0.4M                  |
|    roi_heads.box_predictor.cls_score                     |    83.0K                |
|     roi_heads.box_predictor.cls_score.weight             |     (81, 1024)          |
|     roi_heads.box_predictor.cls_score.bias               |     (81,)               |
|    roi_heads.box_predictor.bbox_pred                     |    0.3M                 |
|     roi_heads.box_predictor.bbox_pred.weight             |     (320, 1024)         |
|     roi_heads.box_predictor.bbox_pred.bias               |     (320,)              |
|   roi_heads.mask_head                                    |   6.8M                  |
|    roi_heads.mask_head.mask_fcn1                         |    4.7M                 |
|     roi_heads.mask_head.mask_fcn1.weight                 |     (256, 2048, 3, 3)   |
|     roi_heads.mask_head.mask_fcn1.bias                   |     (256,)              |
|    roi_heads.mask_head.mask_fcn2                         |    0.6M                 |
|     roi_heads.mask_head.mask_fcn2.weight                 |     (256, 256, 3, 3)    |
|     roi_heads.mask_head.mask_fcn2.bias                   |     (256,)              |
|    roi_heads.mask_head.mask_fcn3                         |    0.6M                 |
|     roi_heads.mask_head.mask_fcn3.weight                 |     (256, 256, 3, 3)    |
|     roi_heads.mask_head.mask_fcn3.bias                   |     (256,)              |
|    roi_heads.mask_head.mask_fcn4                         |    0.6M                 |
|     roi_heads.mask_head.mask_fcn4.weight                 |     (256, 256, 3, 3)    |
|     roi_heads.mask_head.mask_fcn4.bias                   |     (256,)              |
|    roi_heads.mask_head.deconv                            |    0.3M                 |
|     roi_heads.mask_head.deconv.weight                    |     (256, 256, 2, 2)    |
|     roi_heads.mask_head.deconv.bias                      |     (256,)              |
|    roi_heads.mask_head.predictor                         |    20.6K                |
|     roi_heads.mask_head.predictor.weight                 |     (80, 256, 1, 1)     |
|     roi_heads.mask_head.predictor.bias                   |     (80,)               |
